IT,Внутр,151
IT,Транс,63
Добыча полезных ископаемых,Внутр,47
Добыча полезных ископаемых,Транс,35
Легкая промышленность,Внутр,11
Легкая промышленность,Транс,2
Лесная,Внутр,42
Лесная,Транс,10
Машиностроение,Внутр,97
Машиностроение,Транс,49
Металлургия,Внутр,33
Металлургия,Транс,32
Пищевая промышленность,Внутр,116
Пищевая промышленность,Транс,41
Прочие производства,Внутр,9
Прочие производства,Транс,9
СМИ,Внутр,85
СМИ,Транс,7
Связь,Внутр,91
Связь,Транс,20
Сельское хозяйство,Внутр,216
Сельское хозяйство,Транс,20
Спорт,Внутр,10
Спорт,Транс,8
Страхование,Внутр,33
Страхование,Транс,8
Строительство и девелопмент,Внутр,435
Строительство и девелопмент,Транс,61
ТЭК,Внутр,116
ТЭК,Транс,45
Торговля,Внутр,299
Торговля,Транс,79
Транспорт,Внутр,136
Транспорт,Транс,36
Услуги,Внутр,280
Услуги,Транс,56
Финансовые институты,Внутр,229
Финансовые институты,Транс,52
Химическая и нефтехимическая промышленность,Внутр,55
Химическая и нефтехимическая промышленность,Транс,37
Электроэнергетика,Внутр,64
Электроэнергетика,Транс,16
