Добыча полезных ископаемых,,,,,
ПОКАЗАТЕЛЬ/ГОД,2013,2014,2015,2016,2017
ДЖИНИ,0.75079598184621,0.757758283162435,0.744022715893737,0.735468933237105,0.733378854706427
M&A,16702.87,8834.03,6636.37,33116.52,8821.01
IT,,,,,
ДЖИНИ,0.565120504368262,0.562365152627254,0.574135626776336,0.597284915197913,0.607822340271539
M&A,34351.51,51898.21,109740.54,307476.86,46197.6
ПИЩЕВАЯ,,,,,
ДЖИНИ,0.555535248136431,0.544929958785859,0.536607911304878,0.539734719487014,0.522371521828309
M&A,36395.44,17067.5,8014.86,49045.37,23090.64
СМИ,,,,,
ДЖИНИ,0.724763546340686,0.721427295202139,0.705356107115526,0.699344104412774,0.705392681449948
M&A,5087.63032,28891.6602,33173.54044,16698.7482499999,32168.43459
МАШИНОСТРОЕНИЕ,,,,,
ДЖИНИ,0.635786472491151,0.632237040256936,0.615427723842659,0.619960920421778,0.627720716825297
M&A,30922.23001,48730.74486,13179.23107,19155.4520199999,7229.21769
ЛЕГКАЯ,,,,,
ДЖИНИ,0.594820452626876,0.602413048863496,0.579228670966497,0.588455575392989,0.598886643053731
M&A,208.00766,265.3476,496.79475,NA,150.63646
ЛЕСНАЯ,,,,,
ДЖИНИ,0.585287165789779,0.576219043513158,0.570106153571947,0.587117824518849,0.585682778407344
M&A,4289.86234,30328.3763699999,1007.87962,8773.16273,1417.325446
МЕТАЛЛУРГИЯ,,,,,
ДЖИНИ,0.706983040741999,0.709829365335685,0.705799717855517,0.709445206650467,0.705895006340578
M&A,41850.31869,33244.11574,41652.58537,21734.12796,13793.45243
СЕЛЬХОЗ,,,,,
ДЖИНИ,0.418905832409687,0.434154003132189,0.431140299179391,0.442625711477631,0.454111494412163
M&A,28134.11595,55169.14079,51337.8685199999,44805.25149,107557.28855
СПОРТ,,,,,
ДЖИНИ,0.656837092314307,0.694923454280981,0.724943572168026,0.727550741858934,0.71726381849922
M&A,3931.4585,3753.93656,33074.16926,7551.50244,6147.814
СТРОИТЕЛЬСТВО,,,,,
ДЖИНИ,0.550913999045835,0.553587324032175,0.550231481803859,0.565677190396062,0.559935448073102
M&A,132014.3932,166421.93253,588002.64555,634563.65707,206575.839010399
СВЯЗЬ,,,,,
ДЖИНИ,0.857,0.873,0.847,0.846,0.849
M&A,21242.31991,15412.25657,71580.83137,49259.1135999999,11643.73768
ТОРГОВЛЯ,,,,,
ДЖИНИ,0.622942135443787,0.625632171002403,0.633080045041566,0.627791076178061,0.617253072775611
M&A,101930.61552,64556.5747499999,99239.00598,178178.228979999,93370.21542
УСЛУГИ,,,,,
ДЖИНИ,0.652266297171375,0.457638357986268,0.479704515266668,0.502190728126967,0.486927477650626
M&A,69472.05352,77850.0081999999,54901.94619,53628.09242,85335.283117
ТЭК,,,,,
ДЖИНИ,0.68157496950432,0.686580882506342,0.676915540665503,0.664996402207251,0.673320728681684
M&A,2229095.57725,628654.782709999,477606.52766,44646.55349,808404.661038
ФИНАНСОВЫЕ ИНСТИТУТЫ,,,,,
ДЖИНИ,0.875105196386231,0.845622178218266,0.884915822368558,0.875377193449015,0.898943780201698
M&A,103958.51754,126378.19281,150675.11885,67545.63816,506567.77236
НЕФТЕХИМ,,,,,
ДЖИНИ,0.68896019377966,0.69255850265608,0.670611567196404,0.665070833611408,0.676675869916911
M&A,52965.66602,46032.05192,24758.99144,76527.85594,33098.1435999999
ЭЛЕКТРОЭНЕРГЕТИКА,,,,,
ДЖИНИ,0.626778839083697,0.616472056846536,0.616029324261964,0.619989159247396,0.622285282567776
M&A,117993.851719999,28337.7021499999,16604.56567,29137.8315,27813.12122
